iata_code;1;2
AAA;Анаа;Anaa
AAB;;Arrabury
AAC;;Al Arish International Airport
AAD;;Ad-Dabbah
AAE;;Les Salines
AAF;;Municipal
AAG;;Arapoti
AAH;;Aachen/Merzbruck
AAI;;Arraias
AAJ;;Cayana Airstrip
AAK;Аранука;Aranuka
AAL;Аальборг;Aalborg
AAM;Мала-Мала;Mala Mala
AAN;Эль-Аин;Al Ain
AAO;Анако;Anaco
AAP;;Andrau Airpark
AAQ;Витязево;Vityazevo
AAR;;Aarhus Airport
AAS;;Apalapsili
AAT;Алтай;Altay
AAU;Асау;Asau
AAV;;Allah Valley
AAW;;Abbottabad
AAX;;Araxa
AAY;Аль-Гайда;Al Ghaydah
AAZ;;Ambriz
ABA;Абакан;Abakan
ABB;;RAF Station
ABC;;Los Llanos
ABD;Абадан;Abadan
ABF;Абайянг;Abaiang
ABG;Абингдон;Abingdon
ABH;Альфа;Alpha
ABI;;Municipal
ABJ;;Felix Houphouet Boigny
ABK;Кабри-Дар;Kabri Dar
ABL;Амблер;Ambler
ABM;;Bamaga Injinoo
ABN;Альбина;Albina
ABO;;Aboisso
ABP;Аткамба;Atkamba
ABQ;;Albuquerque International
ABR;;Municipal
ABS;Абу-Симбель;Abu Simbel
ABT;;Al-Aqiq
ABU;;Atambua
ABV;;Nnamdi Azikiwe International Airport
ABW;Абау;Abau
ABX;Элбери;Albury
ABY;;Dougherty County
ABZ;;Dyce
ACB;;Antrim County
ACC;Котока;Kotoka
ACD;Аканди;Acandi
ACE;Ланцароте;Lanzarote
ACH;;Altenrhein
ACI;;The Blaye
ACJ;Анурадхапура;Anuradhapura
ACK;;Nantucket Memorial
ACL;;Aguaclara
ACM;Арика;Arica
ACN;;International
ACO;Аскона;Ascona
ACP;;Sahand
ACR;Араракуара;Araracuara
ACS;Ачинск;Achinsk
ACT;;Municipal
ACU;Ахутупо;Achutupo
ACV;;Arcata
ACX;;Xingyi
ACY;;Atlantic City Intl
ACZ;;Zabol A/P
ADA;Адана;Adana
ADB;;Adnan Menderes
ADC;;Andakombe
ADD;;Bole International
ADE;Международный;International
ADF;;Adiyaman
ADG;;Lenawee County
ADH;Алдан;Aldan
ADI;;Arandis
ADJ;;Marka International Airport
ADK;;Adak Island NS
ADL;;Adelaide International Airport
ADM;;Ardmore Municipal Arpt
ADN;Андес;Andes
